Go.	Mene.
Hi.	Moro!
Run!	Juokse!
Run.	Juokse.
Who?	Kuka?
Wow!	Mahtavaa!
Fire!	Tulta!
Help!	Apua!
Jump!	Hyppää!
Jump.	Hyppää.
Stop!	Lopeta!
Wait!	Odota!
Wait.	Odota.
Hello!	Haloo?
Hurry!	Kiiruhda!
I try.	Yritän.
Oh no!	Voi ei!
Relax.	Ota rennosti.
Smile.	Hymyile.
Attack!	Hyökkää!
Cheers!	Kippis!
Freeze!	Seis!
Get up.	Nouse ylös.
Go now.	Mene nyt.
Got it!	Tajusin!
Got it?	Ymmärsitkö?
He ran.	Hän juoksi.
Hop in.	Hyppää sisään.
Hug me.	Halaa minua.
I quit.	Minä lopetan.
I work.	Teen töitä.
I'm 19.	Minä olen yhdeksäntoista.
Listen.	Kuunte.
Really?	Ootko ihan tosissas?
Thanks.	Kiitos!
We try.	Me yritämme.
We won.	Voitimme.
Why me?	Miksi minä?
Ask Tom.	Kysy Tomilta.
Awesome!	Mahtavaa!
Be calm.	Ole rauhallinen.
Be cool.	Hiljaa hyvä tulee.
Be fair.	Ole reilu.
Be kind.	Ole ystävällinen.
Be nice.	Ole kiltisti.
Beat it.	Häivy!
Call me.	Soita minulle.
Call us.	Soita meille.
Come in.	Tule sisään.
Come on!	Lopeta jo!
Drop it!	Pudota se!
Get out!	Ulos täältä!
Get out.	Ala vetää.
Go away!	Häivy!
Go away.	Häivy!
Goodbye!	Hyvästi!
He came.	Hän tuli.
He quit.	Hän lopetti.
He runs.	Hän juoksee.
Help me!	Auttakaa!
Help me.	Auta minua.
Hi, Tom.	Hei, Tom.
Hold it!	Odota!
Hold on.	Odota.
I agree.	Olen samaa mieltä.
I'm Tom.	Minä olen Tom.
I'm fit.	Olen hyvässä kunnossa.
I'm old.	Olen vanha.
It's me.	Se olen minä.
Keep it.	Pidä se.
Kiss me.	Suutele minua.
Me, too.	Niin minäkin.
Open up.	Avaa.
Perfect!	Täydellistä!
See you!	Nähdään taas!
See you.	Nähdään taas.
Show me.	Näytä minulle.
Shut up!	Suu kiinni!
Take it.	Ota se.
Tell me.	Kerro minulle.
Tom won.	Tom voitti.
Wake up!	Herää!
Wake up.	Herää!
Wash up.	Peseydy.
We know.	Tiedämme.
Welcome.	Tervetuloa!
Who won?	Kuka voitti?
Why not?	Miksei?
Am I fat?	Olenko minä lihava?
Back off.	Peräänny.
Be quiet.	Ole hiljaa.
Be still.	Ole aloillasi.
Beats me.	En tiedä.
Call Tom.	Soita Tomille.
Cheer up!	Piristyhän nyt!
Cheer up.	Piristy!
Cool off!	Rauhoitu!
Drive on.	Aja eteenpäin.
Fix this.	Korjaa tämä.
Get away!	Häivy!
Get down!	Maahan!
Get lost!	Häivy!
Get lost.	Häivy.
Get real!	Järki käteen!
Get real.	Järki käteen.
Go ahead!	Menkää eteenpäin.
Go ahead.	Ole hyvä vain.
Good job!	Hienosti tehty!
Grab him.	Nappaa hänet.
Have fun.	Pidä hauskaa!
He spoke.	Hän puhui.
He tries.	Hän yrittää.
Hi, guys.	Terve, tyypit.
How cute!	Kuinka söpö!
How deep?	Kuinka syvä?
How nice!	Miten kivaa!
Hurry up.	Pidä kiirettä.
I am fat.	Olen lihava.
I can go.	Minä voin mennä.
I phoned.	Soitin.
I resign.	Eroan.
I stayed.	Minä jäin.
I waited.	Minä odotin.
I'll pay.	Minä hoidan laskun.
I'm bald.	Olen kalju.
I'm busy.	Minulla on kiire.
I'm cold.	Minulla on kylmä.
I'm cool.	Mä oon khuuli.
I'm fair.	Olen reilu.
I'm free!	Olen vapaa.
I'm free.	Olen vapaa mies.
I'm home.	Kotona ollaan!
I'm lazy.	Olen laiska.
I'm next.	Olen seuraava.
I'm poor.	Olen köyhä.
I'm sick.	Olen kipeä.
I'm sure.	Olen varma.
I'm tall.	Olen pitkä.
I'm thin.	Olen laiha.
I'm ugly.	Olen ruma.
I'm warm.	Minulla on lämmin.
It helps.	Se auttaa.
It hurts.	Se sattuu.
It works.	Se toimii.
It's new.	Se on uusi.
It's sad.	Se on surullista.
Keep out!	Pysy poissa!
Keep out.	Pysy poissa.
Leave it.	Anna olla.
Leave me.	Jätä minut.
Let's go!	Mennään!
Look out!	Varo!
Marry me.	Mennään naimisiin.
She came.	Hän tuli.
She died.	Hän kuoli.
She runs.	Hän juoksee.
Sit down!	Istu alas!
Sit down.	Istu alas.
Sit here.	Istu tässä.
Speak up!	Puhu kovempaa!
Stand up!	Nouse ylös.
Stand up.	Nouse ylös.
Stay put.	Pysy paikallasi.
Stop Tom.	Pysäytä Tom.
Tell Tom.	Kerro Tomille.
Terrific!	Mahtavaa!
They won.	He voittivat.
Tom died.	Tom kuoli.
Tom fell.	Tom putosi.
Tom knew.	Tomi tiesi sen.
Tom lies.	Tom valehtelee.
Tom wept.	Tom itki.
Too late.	Liian myöhään.
Trust me.	Luota minuun.
Try hard.	Yritä kovasti.
Try this.	Koita tätä.
Use this.	Käytä tätä.
Warn Tom.	Varoita Tomia.
We agree.	Olemme samaa mieltä.
What for?	Minkä takia?
What fun!	Miten kivaa!
Who came?	Kuka tuli?
Who died?	Kuka kuoli?
Who fell?	Kuka putosi?
After you.	Sinun jälkeesi.
Answer me.	Vastaa minulle.
Call home!	Soita kotiin!
Calm down!	Rauhoitu!
Calm down.	Rauhoitu!
Catch him.	Nappaa hänet.
Come here.	Tule tänne.
Come home.	Tule kotiin.
Come over!	Tule meille kylään.
Cool down.	Rauhoitu.
Do it now.	Tee se nyt.
Dogs bark.	Koirat haukkuvat.
Don't ask.	Älä kysy!
Don't lie.	Älä valehtele.
Don't run.	Älä juokse.
Excuse me.	Anteeksi.
Excuse me?	Anteeksi kuinka?
Fantastic!	Hienoa!
Follow me.	Seuratkaa minua.
Follow us.	Seuratkaa meitä.
Forget me.	Unohda minut.
Get ready.	Valmistaudu.
Go inside.	Mene sisälle.
Go to bed.	Mene sänkyyn!
Hands off.	Käpälät irti!
He is ill.	Hän on sairas.
He is old.	Hän on vanha.
He shaved.	Hän ajoi partansa.
He smiled.	Hän hymyili.
He's a DJ.	Hän on DJ.
He's busy.	Hänellä on kiire.
He's lazy.	Hän on laiska.
Hold this.	Pidä tätä.
How awful!	Miten kauheaa!
How's Tom?	Mitä Tomille kuuluu?
I am busy.	Minulla on kiire.
I am full.	Olen täysi.
I am sure.	Olen varma.
I am tall.	Olen pitkä.
I can ski.	Osaan hiihtää.
I fainted.	Pyörryin.
I gave up.	Annoin periksi.
I give in.	Annan periksi.
I give up.	Annan periksi.
I got cut.	Sain viillon.
I got hit.	Minuun osui.
I laughed.	Nauroin.
I like it.	Minä pidän siitä.
I mean it!	Tarkoitan sitä tosissani.
I mean it.	Olen tosissani.
I must go.	Minun täytyy mennä.
I said no.	Sanoin ei.
I saw him.	Tapasin hänet.
I saw one.	Näin yhden.
I want it.	Haluan sen.
I will go.	Minä menen.
I woke up.	Heräsin.
I'd agree.	Olen samaa mieltä.
I'll call.	Minä soitan.
I'll help.	Minä autan.
I'll sing.	Minä laulan.
I'll stay.	Minä jään.
I'll wait.	Minä odotan.
I'm a cop.	Olen poliisi.
I'm alone.	Minä olen yksin.
I'm angry.	Olen vihainen.
I'm awake.	Olen hereillä.
I'm blind.	Olen sokea.
I'm broke.	Rahani ovat lopussa.
I'm clean.	Minä olen puhdas.
I'm dizzy.	Minua huippaa.
I'm drunk.	Olen humalassa.
I'm dying.	Teen kuolemaa.
I'm happy.	Olen onnellinen.
I'm lucky.	Olen onnekas.
I'm obese.	Olen ylipainoinen.
I'm smart.	Olen älykäs.
I'm sorry.	Anteeksi.
I'm tired.	Minua väsyttää.
I'm yours.	Olen sinun.
Is it bad?	Onko se vakavaa?
Is it far?	Onko se kaukana?
It rained.	Satoi.
It snowed.	Satoi lunta.
It stinks.	Se haisee pahalle!
It worked.	Se toimi.
It's a TV.	Se on televisio.
It's cold.	On kylmä.
It's good.	Se on hyvä.
It's lost.	Se on kadonnut.
It's time.	On aika.
Jump down.	Hyppää alas!
Keep calm.	Pysy rauhallisena.
Keep down.	Pysy matalana.
Keep that.	Pidä se.
Keep them.	Pidä ne.
Keep this.	Pidä tämä.
Keep warm.	Pysy lämpimänä.
Leave now!	Lähde nyt!
Leave now.	Lähde nyt.
Let me in.	Päästä minut sisään.
Let us in.	Päästä meidät sisään.
Let's eat.	Syödään.
Let's try.	Yritetään.
Lie still.	Makaa aloillasi.
Listen up.	Kuuntele tarkkaan.
Look away.	Katso muualle.
Look back!	Muistele!
Look back.	Katso taaksesi.
Move over.	Siirry.
Of course!	Tietysti!
Of course.	Tietysti!
Oh please!	Hei oikeesti!
Open fire!	Avatkaa tuli!
Pardon me?	Anteeksi kuinka?
Read this.	Lukekaa tämä.
Search me.	En tiedä.
See below.	Katso alla.
Seriously?	Oikeesti?
She cried.	Hän itki.
She tried.	Hän yritti.
Sign here.	Allekirjoita tähän.
Sit still.	Istu paikallasi.
Sit tight.	Odota kärsivällisesti.
Start now.	Aloita nyt.
Stay away.	Pysy poissa.
Stay back.	Pysy poissa.
Stay calm.	Jäitä hattuun.
Stay cool.	Pysy rauhallisena.
Stay down!	Pysy matalana!
Stay down.	Pysy matalana.
Stay here.	Pysy täällä.
Stay thin.	Älä liho.
Step back.	Peräänny.
Stop that!	Lopeta!
Stop that.	Lopeta!
Take care!	Koeta pärjätä.
Take care.	Koeta pärjätä.
Thank you.	Kiitos!
That's OK.	Se sopii.
That's it.	Se siitä.
Then what?	Entä sitten?
They fell.	He putosivat.
They swam.	He uivat.
Tom cares.	Tom välittää.
Tom cried.	Tom itki.
Tom dozed.	Tom torkkui.
Tom drove.	Tom ajoi.
Tom is OK.	Tom on kunnossa.
Tom knows.	Tom tietää.
Tom tries.	Tom yrittää.
Tom walks.	Tom kävelee.
Tom works.	Tom tekee töitä.
Tom's fat.	Tom on lihava.
Tom's sad.	Tomi on surullinen.
Try again.	Yritä vielä kerran.
Turn left.	Käänny vasemmalle.
Wait here.	Odota tässä.
Watch out!	Varo!
We can go.	Voimme mennä.
We talked.	Me puhuimme.
We've won!	Me voitimme!
Well done!	Hienosti tehty!
What else?	Mitä muuta?
What's up?	Mitä kuuluu?
Who cares?	Ketä kiinnostaa?
Who knows?	Kuka tietää?
Who's Tom?	Kuka on Tom?
Who's she?	Kuka hän on?
Wonderful!	Mahtavaa!
You idiot!	Sinä idiootti!
You tried.	Sinä yritit.
Aim higher.	Tähtää korkeammalle.
All aboard!	Kaikki kyytiin!
Am I dying?	Teenkö minä kuolemaa?
Am I wrong?	Olenko väärässä?
Are you OK?	Onko kaikki okei?
Are you in?	Oletko mukana?
Be careful!	Ole varovainen!
Be careful.	Ole varovainen.
Be patient.	Ole kärsivällinen.
Birds sing.	Linnut laulavat.
Bottoms up!	Pohjanmaan kautta!
Bring wine.	Tuo viiniä.
Can I help?	Saanko auttaa?
Can I stay?	Voinko minä jäädä?
Choose one.	Valitse yksi.
Come along.	Tule mukaan.
Come quick!	Tule nopeasti!
Cut it out!	Lopeta!
Cut it out.	Lopeta!
Definitely!	Tietysti!
Did Tom go?	Lähtikö Tom?
Do you ski?	Lasketteletko?
Don't jump!	Älä hyppää.
Don't move!	Älä liiku!
Don't push.	Älä paina.
Don't rush.	Älä ryntää.
Don't sing.	Älä laula.
Don't talk.	Älä puhu.
Don't wait.	Älä odota.
Duty calls.	Velvollisuus kutsuu.
Eat slowly.	Syö hitaasti.
Fill it up.	Tankki täyteen, kiitos!
Find a job.	Homma itsellesi töitä.
Fire burns.	Tuli palaa.
Follow him.	Seuraa häntä.
Forget him.	Unohda hänet!
Forgive me.	Anna anteeksi.
Get off me.	Älä koske minuun!
Get to bed.	Mene sänkyyn.
God exists.	Jumala on olemassa.
Good night.	Hyvää yötä.
He coughed.	Hän yski.
He gave in.	Hän antautui.
He gave up.	Hän antautui.
He got a D.	Hän sai arvosanaksi "tyydyttävä".
He hung up.	Hän sulki puhelimen.
He is a DJ.	Hän on DJ.
He is busy.	Hänellä on kiire.
He is kind.	Hän on hyvä ihminen.
He is mean.	Hän on halpamainen.
He is nice.	Hän on hyvä ihminen.
He is poor.	Hän on köyhä.
He is sick.	Hän on sairas.
He laughed.	Hän nauroi.
He made it.	Hän ehti.
He's Swiss.	Hän on sveitsiläinen.
He's lying.	Hän valehtelee.
He's smart.	Hän on nokkela.
Hello, Tom.	Hei, Tom!
Hey, relax.	Hei, relaa vähän.
How lovely!	Kuinka ihanaa!
How's work?	Mites töissä?
Hurry home.	Kiiruhda kotiin.
I am a man.	Minä olen mies.
I am happy.	Olen onnellinen.
I am ready.	Olen valmis.
I am smart.	Olen älykäs.
I am sorry.	Olen pahoillani.
I am tired.	Minua väsyttää.
I am young.	Olen nuori.
I broke it.	Minä rikoin sen.
I can read.	Osaan lukea.
I can sing.	Osaan laulaa.
I can stay.	Voin jäädä.
I can swim.	Osaan uida.
I can wait.	Voin odottaa.
I can walk.	Voin kävellä.
I chuckled.	Minä myhäilin.
I disagree.	Olen eri mieltä.
I do worry.	Todella huolehdin.
I eat here.	Syön täällä.
I envy Tom.	Olen kateellinen Tomille.
I feel bad.	Minulla on paha olo.
I found it.	Löysin sen!
I got busy.	Minulle tuli kiireitä.
I got hurt.	Minuun sattui.
I got sick.	Sairastuin.
I hate you.	Vihaan sinua.
I hope not.	Toivottavasti ei.
I know Tom.	Tunnen Tomin.
I know her.	Tunnen hänet.
I know him.	Minä tunnen hänet.
I know you.	Tunnen sinut.
I like Tom.	Tykkään Tomista.
I like him.	Pidän hänestä.
I like tea.	Tykkään teestä.
I love her.	Rakastan häntä.
I love him.	Rakastan häntä.
I love tea.	Minä rakastan teetä.
I love you.	Minä rakastan teitä.
I made tea.	Minä tein teetä.
I miss Tom.	Mul on ikävä Tomii.
I miss him.	Minulla on ikävä häntä.
I miss you.	Kaipaan sinua.
I must run.	Minun pitää juosta.
I ran home.	Juoksin kotiin.
I resigned.	Minä erosin.
I survived.	Pärjäsin.
I think so.	Luulen niin.
I want you.	Minä haluan sinut.
I was away.	Olin poissa.
I was lost.	Olin eksyksissä.
I work out.	Harrastan liikuntaa.
I'll be OK.	Olen kunnossa.
I'll do it.	Minä teen sen.
I'm Korean.	Olen korealainen.
I'm a liar.	Olen valehtelija.
I'm amused.	Olen huvittunut.
I'm clumsy.	Olen kömpelö.
I'm coming.	Olen tulossa.
I'm direct.	Olen suora.
I'm eating.	Minulla on ruokailu kesken.
I'm for it.	Kannatetaan!
I'm hiding.	Olen piilossa.
I'm hungry!	Minä olen nälkäinen.
I'm hungry.	Minä olen nälkäinen.
I'm lonely.	Olen yksinäinen.
I'm single.	Olen sinkku.
I'm sleepy!	Mua väsyttää!
I'm sleepy.	Mua väsyttää!
I'm so fat.	Olen niin lihava.
I'm wasted.	Mä oon kännissä.
Ignore Tom.	Älä välitä Tomista.
Ignore him.	Sivuuta hänet.
Is Tom mad?	Onko Tom vihainen?
Is he busy?	Onko hänellä kiire?
Is he tall?	Onko hän pitkä?
Is it free?	Onko se ilmainen?
Is it safe?	Onko se turvallista?
Is it time?	Onko nyt aika?
Is that so?	Ihanko niin?
It happens.	Sitä sattuu.
It matters.	Sillä on väliä.
It's bulky.	Se on suuri ja kömpelö.
It's close.	Se on lähellä.
It's my CD.	Se on minun CD:ni.
It's on me.	Minä hoidan laskun.
It's scary.	Se on pelottava.
It's shiny.	Se on kiiltävä.
It's stuck.	Se on jumissa.
It's sweet.	Se on makeaa.
Jesus wept.	Jeesus itki.
Just do it.	Tee se vaan.
Just relax.	Rentoudu vaan.
Keep notes.	Tee muistiinpanoja.
Keep quiet!	Pysy hiljaa!
Keep quiet.	Pysy hiljaa.
Keep still.	Pysy paikoillasi.
Let it dry.	Anna sen kuivua.
Let me see.	Anna kun katson.
Let me try.	Anna minun kokeilla.
Let's swim.	Uidaan.
Let's walk.	Kävellään.
Look alert.	Näytä valppaalta.
Look there.	Katso tuonne.
Love hurts.	Rakkaus sattuu.
Love lasts.	Rakkaus kestää.
Mama cried.	Äiti itki.
Never mind!	Ei mitään.
No kidding?	Ootsä ihan tosissas?
No problem!	Ei hätää!
No problem.	Eipä mitään.
Once again.	Taas kerran.
Please sit.	Istu alas, ole hyvä.
Say cheese.	Sanokaa muikku.
Shadow him.	Varjosta häntä.
She smiled.	Hän hymyili.
She's busy.	Hänellä on kiire.
Sing along.	Laula mukana.
Smell this.	Haista tätä.
Stay alert.	Pysy valppaana.
Stay awake.	Pysykää hereillä.
Stay close.	Pysy lähellä.
Stay quiet.	Ole hiljaa.
Stay sharp.	Ole tarkkana.
Stay still.	Pysy paikallasi.
Stay there.	Pysy siellä.
Step aside.	Astu sivuun.
Stop there.	Pysähdy siihen.
Study hard.	Opiskele ahkerasti.
Take cover!	Suojaudu!
Talk to me.	Puhu minulle!
That hurts.	Tuo sattuu.
That's Tom.	Se on Tomia.
That's odd.	Sepä outoa.
That's sad.	Se on surullista.
They stood.	He seisoivat.
They tried.	He yrittivät.
This is it.	Nyt riittää.
Time is up.	Aika on loppu.
Tom agreed.	Tomi suostui.
Tom bit me.	Tomi puraisi minua.
Tom called.	Tom soitti.
Tom drives.	Tom ajaa.
Tom gasped.	Tom haukkoi henkeään.
Tom hit me.	Tomi löi minua.
Tom is ill.	Tom on sairaana.
Tom is sad.	Tomi on surullinen.
Tom is wet.	Tom on märkä.
Tom moaned.	Tom voihkaisi.
Tom nodded.	Tom nyökkäsi.
Tom saw me.	Tom näki minut.
Tom shaved.	Tom ajoi partansa.
Tom smiled.	Tom hymyili.
Tom stayed.	Tom jäi.
Tom winked.	Tom iski silmää.
Tom yawned.	Tomi haukotteli.
Tom'll pay.	Tomi maksaa.
Tom's dead.	Tom on kuollut.
Tom's died.	Tom on kuollut.
Tom's fast.	Tomi on nopea.
Tom's here.	Tomi on täällä.
Tom's mean.	Tom on ilkeä.
Tom's ugly.	Tomi on ruma.
Tom's well.	Tom voi hyvin.
Turn right.	Käänny oikealle.
Was he Tom?	Oliko hän Tom?
Was it fun?	Oliko se kivaa?
Watch this.	Katso tätä.
We all die.	Me kaikki kuolemme.
We are men.	Me olemme miehiä.
We laughed.	Nauroimme.
We'll walk.	Me kävelemme.
We're home.	Me olemme kotona.
We're poor.	Olemme köyhiä.
What gives?	Mitä ihmettä?
What is it?	Mikä se on?
Where am I?	Missä minä olen?
Who did it?	Kuka teki sen?
Who is Tom?	Kuka on Tom?
Who stayed?	Kuka jäi?
Who's that?	Kuka toi on?
Wood burns.	Puu palaa.
You called?	Sinä soitit?
You may go.	Voit mennä.
You're old.	Sinä olet vanha.
Am I hungry!	Minä olen nälkäinen.
Are we lost?	Olemmeko eksyksissä?
Are you Tom?	Oletteko te Tomi?
Are you new?	Oletko uusi täällä?
Be cheerful.	Ole iloinen.
Be friendly.	Ole ystävällinen.
Be vigilant.	Ole valpas.
Be watchful.	Ole valpas.
Be yourself.	Ole oma itsesi.
Call me Tom.	Kutsu minua Tomiksi.
Can we talk?	Voimmeko jutella?
Come off it!	Lopeta jo!
Did Tom die?	Kuoliko Tom?
Did Tom try?	Yrittikö Tom?
Did you win?	Voititteko?
Do as I say.	Tee niin kuin sanon.
Don't argue.	Älä väitä vastaan.
Don't cheat.	Älä petkuta.
Don't laugh.	Älä naura.
Don't shoot!	Älä ammu!
Don't shout.	Älä huuda.
Don't smile.	Älä hymyile.
Don't speak.	Älä puhu.
Don't stand.	Älä seiso.
Don't stare.	Älä tuijota.
Don't worry.	Älä huoli.
Forgive Tom.	Anna Tomille anteeksi.
Get dressed.	Pue päällesi.
Get serious.	Vakavoidu.
Get to work.	Ala töihin siitä.
Go home now.	Mene kotiin nyt.
Go with Tom.	Mene Tomin kanssa.
Have a look.	Katso.
Have a seat.	Istuhan alas.
Have we met?	Olemmeko tavanneet?
He can swim.	Hän osaa uida.
He chuckled.	Hän hykerteli.
He is crazy.	Hän on hullu.
He is eight.	Hän on kahdeksanvuotias.
He is hated.	Häntä vihataan.
