I'm in good health.	Olen terve.
Do you know who made it?	Tiedätkö, kuka teki sen?
Tom has a sister who can speak French.	Tomilla on sisko, joka osaa puhua ranskaa.
Is your father a doctor?	Onko sinun isäsi lääkäri?
I ate a cheeseburger.	Söin juustohampurilaisen.
How could you be so stupid?	Miten saatoit olla niin typerä?
We're cooking now.	Teemme nyt ruokaa.
A penny spent is often more useful than one saved.	Kulutettu penni on usein hyödyllisempi kuin säästetty.
There is a flower shop near by.	Lähellä on kukkakauppa.
This laptop is light.	Tämä läppäri on kevyt.
He loves animals.	Hän pitää eläimistä.
We're almost out of fuel.	Bensa on melkein loppu.
Give me a call later, OK?	Soita minulle myöhemmin, sopiiko?
Tom wants revenge.	Tom vaatii kostoa.
How well does Tom swim?	Kuinka hyvin Tomi osaa uida?
I just wanted to let you know I have a date.	Halusin vain kertoa sinulle, että minulla on treffit.
My idea was much better.	Minun ideani oli paljon parempi.
Are you allergic to this medicine?	Oletko allerginen tälle lääkkeelle?
I am very happy in Georgia.	Viihdyn todella Georgiassa.
I don't blame you for this.	En syytä tästä sinua.
Generally speaking, women live longer than men.	Naiset elävät yleisesti ottaen pidempään kuin miehet.
Be careful with that knife.	Ole varovainen tuon veitsen kanssa.
He will be in New York for two weeks.	Hän on New Yorkissa kaksi viikkoa.
That's really not necessary.	Se ei ole oikeastaan tarpeen.
Both Tom and Mary thanked John.	Tomi ja Mari molemmat kiittivät Jonia.
Tom drove.	Tom ajoi.
That man has a very good build.	Tuolla miehellä on todella hyvä ruumiinrakenne.
Do you know how to eat with chopsticks?	Tiedätkö miten syödään puikoilla?
I couldn't afford to buy everything we needed.	Minulla ei ollut varaa ostaa kaikkea mitä tarvitsimme.
We knew all about it.	Me tiesimme kaiken siitä.
You mean the world to me.	Olet minulle koko maailmani.
I'm your boss now.	Minä olen nyt sinun pomosi.
You won't be needing that again.	Et tarvitse sitä enää.
Tom was injured in a traffic accident.	Tom vammautui liikenneonnettomuudessa.
I know my father will help me.	Isäni kyllä auttaa minua.
She doesn't like to speak in public.	Hän ei pidä puhumisesta yleisölle.
Tom needs some new clothes.	Tom tarvitsee uusia vaatteita.
She is not honest at all.	Hän ei ole ollenkaan rehellinen.
We were crazy about each other.	Me olimme hulluina toisiimme.
Give me half of it.	Anna minulle puolet siitä.
My father is a bit old fashioned.	Isäni on vähän vanhanaikainen.
He has a car.	Hänellä on auto.
My father used to drink beer, but now he drinks sake.	Isälläni oli tapana juoda olutta, mutta nyt hän juo sakea.
The sun and the moon rise in the east and set in the west.	Aurinko ja Kuu nousevat idästä ja laskevat länteen.
Is it a trap?	Onko se ansa?
The balloon is filled with air.	Ilmapallo on täytetty ilmalla.
You're not seriously considering going, are you?	Ethän sinä vakavissasi ole menossa, ethän?
Mary is very beautiful.	Mari on todella kaunis.
Tom heard a gunshot.	Tom kuuli laukauksen.
Don't be melodramatic.	Älä ole melodramaattinen.
I forgot my scarf.	Unohdin kaulahuivini.
I have visited the place time after time.	Olen käynyt siellä kerta toisensa jälkeen.
Don't tell me what I'm supposed to do.	Älä sinä sano, mitä minun pitää tehdä.
Tom never got better.	Tom ei koskaan parantunut.
Why are you doing this?	Miksi teet tämän?
Why didn't anybody tell me?	Miksi kukaan ei kertonut minulle?
